laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Touchscreen,Ips,Storage
1,Samsung,Samsung Notebook 1,Gaming,17.0,"17.0"" 3840x2160",AMD Ryzen 3,32,128GB,NVIDIA GeForce RTX 3060,Linux,3.14,1241,Yes,No,HDD
2,HP,HP Gaming 2,Workstation,16.4,"16.4"" 3840x2160",AMD Ryzen 3,128,128GB,Intel Iris Xe Graphics,Chrome OS,1.94,870,No,Yes,HDD
3,Razer,Razer Netbook 3,Notebook,14.8,"14.8"" 1920x1080",AMD Ryzen 5,32,64GB,NVIDIA GeForce RTX 3060,Chrome OS,2.1,1668,Yes,No,Hybrid
4,Microsoft,Microsoft Workstation 4,Notebook,15.0,"15.0"" 3840x2160",AMD Ryzen 5,16,512GB,NVIDIA GeForce GTX 1660,Windows 10,2.76,824,No,Yes,Hybrid
5,Acer,Acer 2 in 1 Convertible 5,Notebook,13.8,"13.8"" 1920x1080",AMD Ryzen 7,8,128GB,NVIDIA GeForce GTX 1650,Windows 11,2.43,526,Yes,No,Hybrid
6,MSI,MSI Notebook 6,2 in 1 Convertible,12.2,"12.2"" 2560x1440",Intel Core i9,8,16GB,NVIDIA GeForce GTX 1650,macOS,2.75,1159,Yes,No,HDD
7,Dell,Dell 2 in 1 Convertible 7,Notebook,12.4,"12.4"" 2560x1440",Intel Core i7,32,8GB,AMD Radeon RX 6800M,Windows 10,1.19,2115,Yes,Yes,HDD
8,LG,LG Notebook 8,Workstation,13.6,"13.6"" 2560x1440",AMD Ryzen 9,16,32GB,AMD Radeon RX 5500M,macOS,1.38,1128,Yes,No,SSD
9,Lenovo,Lenovo Workstation 9,Netbook,13.4,"13.4"" 1366x768",AMD Ryzen 3,32,32GB,Intel Iris Xe Graphics,Windows 11,2.33,365,Yes,Yes,SSD
10,Microsoft,Microsoft Ultrabook 10,Ultrabook,11.7,"11.7"" 1366x768",AMD Ryzen 9,8,512GB,AMD Radeon RX 6600M,Windows 10,1.2,1505,No,No,SSD
11,LG,LG Netbook 11,Gaming,15.8,"15.8"" 1920x1080",Intel Core i7,8,256GB,NVIDIA GeForce RTX 3050,Windows 11,3.68,1500,Yes,Yes,Hybrid
12,Apple,Apple Gaming 12,Ultrabook,13.5,"13.5"" 2560x1440",Intel Core i3,4,16GB,Intel HD Graphics,macOS,1.28,419,Yes,Yes,Hybrid
13,Microsoft,Microsoft Ultrabook 13,Notebook,15.1,"15.1"" 2560x1440",Intel Core i9,32,2TB,AMD Radeon RX 6600M,Chrome OS,2.38,2208,Yes,No,HDD
